Loai phong,Ngay dang,Gia phong,Dien tich,Suc chua,Dien,Nuoc,May lanh,WC rieng,Cho de xe,Wifi,Tu do,Khong chung chu,Tu lanh,May giat,Bao ve,Giuong ngu,Nau an,Tivi,Thu cung,Tu quan ao,Cua so,May nuoc nong,Gac lung,Quan,Nam,Nu
Căn hộ,2021-11-11,5500000.0,30.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 2,1,1
Căn hộ,2021-11-11,4500000.0,20.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Bình Chánh,1,1
Phòng cho thuê,2021-11-11,5000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-11,7500000.0,35.0,2.0,4000.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-11,4300000.0,25.0,2.0,4000.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-11,10000000.0,70.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-11,4500000.0,30.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-11,7000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Phòng cho thuê,2021-11-11,5200000.0,28.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-11,7500000.0,40.0,3.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,7300000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-10,5000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Phòng cho thuê,2021-11-10,8500000.0,35.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Phòng cho thuê,2021-11-10,7000000.0,30.0,4.0,3800.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Bình Chánh,1,1
Phòng cho thuê,2021-11-10,5000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Phòng cho thuê,2021-11-10,6500000.0,28.0,3.0,3900.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-10,5500000.0,4.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-10,7500000.0,40.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Bình Chánh,1,1
Phòng cho thuê,2021-11-10,6000000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Phòng cho thuê,2021-11-10,4900000.0,30.0,3.0,4000.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,6500000.0,35.0,3.0,3900.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,5500000.0,35.0,3.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,6600000.0,25.0,2.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,5300000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,6500000.0,35.0,4.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Căn hộ,2021-11-10,8500000.0,35.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,4500000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,0,1
Phòng cho thuê,2021-11-10,7500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Bình Chánh,1,1
Căn hộ,2021-11-10,7500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Bình Chánh,1,1
Căn hộ,2021-11-10,5000000.0,25.0,2.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,13000000.0,40.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 2,1,1
Căn hộ,2021-11-10,4500000.0,25.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-10,6000000.0,30.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Phòng cho thuê,2021-11-09,5000000.0,35.0,5.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-09,4500000.0,30.0,2.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-09,4000000.0,25.0,4.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 5,1,1
Căn hộ,2021-11-09,6000000.0,30.0,4.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Căn hộ,2021-11-09,4500000.0,30.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,3500000.0,40.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,4200000.0,28.0,3.0,3500.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,6000000.0,40.0,4.0,4000.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,6500000.0,80.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-09,7000000.0,35.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Nhà nguyên căn,2021-11-09,4000000.0,25.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 9,1,1
Phòng cho thuê,2021-11-09,5500000.0,25.0,3.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,1700000.0,18.0,3.0,3500.0,50000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Gò Vấp,1,1
Phòng cho thuê,2021-11-09,3500000.0,30.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,3500000.0,40.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,4000000.0,25.0,3.0,3800.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,7000000.0,35.0,2.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,4500000.0,45.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-09,5500000.0,35.0,4.0,3800.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,6800000.0,30.0,3.0,3800.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Ký túc xá,2021-11-09,1100000.0,20.0,6.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,0,1
Căn hộ,2021-11-09,16000000.0,50.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-09,15000000.0,70.0,4.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-09,5500000.0,22.0,2.0,3800.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Phú Nhuận,1,1
Phòng cho thuê,2021-11-09,6500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Căn hộ,2021-11-09,5000000.0,40.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Bình Chánh,1,1
Căn hộ,2021-11-09,5000000.0,30.0,4.0,3500.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,6800000.0,34.0,2.0,3500.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-09,3000000.0,25.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Gò Vấp,1,1
Căn hộ,2021-11-09,5500000.0,38.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-09,1100000.0,20.0,6.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,0,1
Căn hộ,2021-11-09,16000000.0,50.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-08,5500000.0,30.0,3.0,3171.6048239853935,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-08,6000000.0,30.0,3.0,3700.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-08,4900000.0,30.0,3.0,2900.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-08,6500000.0,30.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-08,5500000.0,30.0,2.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-08,15000000.0,50.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-08,4000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-08,6000000.0,40.0,4.0,3500.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-08,4500000.0,20.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-08,6000000.0,30.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-08,6000000.0,25.0,1.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-08,6500000.0,35.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-08,4500000.0,25.0,3.0,2900.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-08,8500000.0,30.0,1.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Phòng cho thuê,2021-11-08,5000000.0,30.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Huyện Bình Chánh,1,1
Phòng cho thuê,2021-11-08,6500000.0,45.0,0.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-08,6000000.0,30.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 8,1,1
Căn hộ,2021-11-08,8000000.0,35.0,3.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng ở ghép,2021-11-08,5400000.0,30.0,2.0,3800.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-07,6800000.0,40.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-08,6500000.0,25.0,3.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-08,4500000.0,20.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-08,6999999.0,30.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-08,11000000.0,50.0,2.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Phòng cho thuê,2022-12-13,3000000.0,18.0,2.0,3500.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Tân,1,1
Căn hộ,2021-11-08,3500000.0,25.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Phú Nhuận,0,1
Căn hộ,2021-11-08,7999999.0,40.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-07,6800000.0,40.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-07,6500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Phòng cho thuê,2021-11-07,5000000.0,30.0,4.0,3500.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-07,6500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Phòng cho thuê,2021-11-07,5000000.0,25.0,3.0,3500.0,96000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-07,5300000.0,30.0,3.0,3500.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-07,3400000.0,20.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 10,1,1
Căn hộ,2021-11-07,6500000.0,30.0,3.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 8,1,1
Căn hộ,2021-11-07,6000000.0,35.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-07,7500000.0,35.0,4.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Phòng cho thuê,2021-11-07,6500000.0,25.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-07,7500000.0,40.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-07,6000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Phú Nhuận,1,1
Căn hộ,2021-11-07,6500000.0,30.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-07,6999999.0,35.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-07,9000000.0,40.0,3.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-07,7000000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-07,6500000.0,30.0,3.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 8,1,1
Căn hộ,2021-11-07,6000000.0,35.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-07,6000000.0,25.0,2.0,3800.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Phú Nhuận,1,1
Căn hộ,2021-11-07,8500000.0,45.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 10,1,1
Căn hộ,2021-11-07,2300000.0,25.0,3.0,2800.0,90000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-07,3500000.0,25.0,3.0,3500.0,102000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Thủ Đức,1,1
Căn hộ,2021-11-07,5500000.0,35.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 10,1,1
Căn hộ,2021-11-07,9000000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-07,4500000.0,35.0,2.0,3800.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-06,6500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-06,5500000.0,30.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-06,6000000.0,30.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-06,6000000.0,25.0,2.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-06,8500000.0,30.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Căn hộ,2021-11-06,8500000.0,50.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-06,7000000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-06,4900000.0,30.0,3.0,3700.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-06,6100000.0,37.0,3.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-06,5800000.0,35.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Phú Nhuận,1,1
Căn hộ,2021-11-06,7000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-06,11000000.0,50.0,4.0,3500.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-06,6000000.0,30.0,2.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-06,7000000.0,35.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Ký túc xá,2021-11-06,8500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Căn hộ,2021-11-06,8000000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Phú Nhuận,1,1
Căn hộ,2021-11-06,16000000.0,80.0,4.0,3500.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Phòng cho thuê,2021-11-06,11000000.0,50.0,2.0,-1000.0,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-06,5000000.0,30.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-06,3500000.0,22.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-06,7700000.0,40.0,4.0,3500.0,108000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-06,4500000.0,26.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Phòng cho thuê,2021-11-06,6000000.0,26.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 3,1,1
Phòng cho thuê,2021-11-06,3900000.0,20.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Ký túc xá,2021-11-06,1800000.0,25.0,4.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,0,1
Căn hộ,2021-11-06,5500000.0,35.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Phòng cho thuê,2021-11-06,2200000.0,8.0,2.0,3500.0,120000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 11,1,1
Căn hộ,2021-11-05,8000000.0,35.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-05,5600000.0,40.0,4.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-05,5000000.0,30.0,3.0,3500.0,150000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-05,3400000.0,25.0,4.0,3500.0,80000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Gò Vấp,1,1
Căn hộ,2021-11-05,5000000.0,28.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Phòng cho thuê,2021-11-05,9000000.0,38.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-05,6300000.0,35.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Căn hộ,2021-11-05,6500000.0,30.0,5.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 10,1,1
Phòng cho thuê,2021-11-05,6500000.0,30.0,5.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-05,7500000.0,30.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 7,1,1
Phòng cho thuê,2021-11-05,5500000.0,25.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Phú Nhuận,1,1
Căn hộ,2021-11-05,7000000.0,35.0,4.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Phòng cho thuê,2021-11-05,7500000.0,45.0,4.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Ký túc xá,2021-11-05,1800000.0,25.0,3.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,0,1
Phòng cho thuê,2021-11-05,8000000.0,40.0,4.0,4000.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Tân Bình,1,1
Căn hộ,2021-11-05,4000000.0,20.0,2.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 1,1,1
Căn hộ,2021-11-05,5500000.0,30.0,3.0,4000.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
Căn hộ,2021-11-05,5500000.0,30.0,2.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận Bình Thạnh,1,1
Căn hộ,2021-11-05,6500000.0,35.0,3.0,3500.0,100000.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Quận 4,1,1
